Pairs,Frequency,Dates
1-31-39-60-62-84,1,2013/10/8
3-11-38-59-67-74,1,2013/1/5
17-41-45,3,"2015/9/29,2014/10/9,2014/5/20"
33-67,4,"2018/6/7,2016/2/25,2013/4/20,2009/2/24"
34-77,12,"2022/7/26,2021/10/28,2018/9/29,2017/11/7,2016/10/13,2016/8/9,2016/8/6,2015/12/5,2015/8/4,2012/2/28,2010/1/7,2009/10/1"
33-42-46,2,"2017/5/25,2010/4/13"
1-6-7-10-14-56,1,2014/5/31
45-69-82,2,"2020/2/18,2014/12/16"
35-48-89,2,"2017/12/23,2014/7/1"
36-50-56,2,"2019/9/21,2010/4/8"
24-70,9,"2021/12/2,2020/8/25,2018/9/25,2016/6/7,2014/1/9,2013/1/15,2010/9/30,2010/1/23,2009/10/6"
31-39-84,2,"2013/10/8,2012/12/29"
23-25,5,"2011/7/28,2011/4/21,2010/7/8,2010/4/1,2010/1/28"
4-31,9,"2022/10/18,2021/8/19,2019/10/3,2016/6/21,2015/10/3,2015/8/20,2015/5/23,2014/8/21,2013/4/4"
4-79,7,"2022/10/13,2021/11/11,2020/6/6,2017/4/22,2014/9/25,2010/9/18,2010/4/20"
17-57,7,"2019/8/19,2018/9/25,2018/5/8,2015/9/29,2015/2/26,2012/11/5,2010/8/5"
6-9-47,2,"2016/8/30,2011/12/27"
37-42-86,3,"2021/2/27,2019/2/2,2015/6/3"
12-27-38-43-65-67,1,2014/2/11
27-77-86,2,"2021/11/2,2021/10/21"
2-22-90,2,"2017/6/3,2015/1/10"
58-82,12,"2020/2/18,2019/12/10,2019/4/16,2018/1/4,2016/2/23,2015/6/9,2014/11/22,2014/11/6,2014/9/11,2012/9/4,2011/6/23,2010/4/10"
10-27,7,"2021/10/21,2020/5/26,2016/2/16,2013/12/19,2013/1/26,2009/8/22,2009/8/17"
7-55,10,"2020/11/17,2019/9/24,2019/7/25,2018/4/5,2015/12/19,2015/8/29,2015/8/8,2015/3/21,2013/10/10,2011/12/15"
13-66,7,"2022/5/3,2021/11/13,2021/3/23,2019/3/12,2019/2/26,2016/1/19,2015/3/17"
13-46,7,"2019/8/17,2017/9/26,2013/10/31,2012/6/26,2011/1/25,2010/6/5,2009/7/2"
9-49-65,3,"2020/6/1,2016/9/10,2010/5/27"
22-23,6,"2019/6/13,2015/12/22,2015/1/24,2013/3/12,2012/8/14,2009/5/12"
8-90,8,"2021/8/21,2019/5/7,2018/1/9,2017/8/1,2015/3/24,2014/3/1,2011/1/15,2010/3/13"
12-18-22,2,"2016/12/31,2013/1/29"
3-67-90,2,"2011/8/4,2010/9/7"
56-72-73,3,"2016/5/14,2014/4/1,2013/10/22"
10-26,10,"2021/10/21,2020/7/9,2018/10/25,2018/4/30,2017/9/12,2016/12/3,2015/9/22,2014/8/9,2014/7/26,2011/12/13"
17-31,6,"2018/3/15,2016/3/22,2014/7/15,2010/8/10,2009/8/1,2009/5/30"
28-66-72,2,"2021/2/18,2018/7/3"
9-43-44,2,"2020/10/29,2018/3/20"
6-76-80,2,"2017/4/8,2017/1/21"
18-33,11,"2022/6/11,2022/4/23,2021/9/28,2020/7/18,2018/1/8,2017/9/14,2016/12/31,2016/5/31,2015/4/30,2010/1/16,2009/2/5"
25-30-37,2,"2022/9/3,2019/4/2"
3-51-55-73,2,"2012/5/26,2009/10/15"
22-55,8,"2022/4/14,2021/11/2,2020/8/8,2017/9/16,2015/12/19,2014/12/23,2014/11/22,2013/11/9"
1-73,5,"2018/8/28,2014/5/6,2013/1/10,2011/10/4,2009/5/14"
12-13-19-37,2,"2018/5/22,2014/12/13"
7-14-24-43-44-90,1,2022/7/21
18-28-35-52-57-75,1,2011/9/27
10-44-68,2,"2018/2/24,2016/5/17"
19-56-86,2,"2020/3/12,2015/11/14"
10-66-87,2,"2022/1/13,2021/6/29"
14-39-73,2,"2020/9/19,2013/7/23"
66-76-87,2,"2021/4/29,2019/1/10"
28-73,2,"2022/2/24,2018/11/22"
26-48-79,3,"2022/5/17,2015/6/11,2014/6/3"
38-81-89,2,"2022/3/26,2021/5/27"
15-59-64-65-76-79,1,2012/7/5
11-17-48-52-70-90,1,2016/1/16
11-29-64-68-70-85,1,2017/9/7
12-32-85,2,"2016/4/5,2011/5/21"
4-81,5,"2021/8/19,2016/10/15,2015/7/28,2013/2/9,2013/2/7"
16-35-41,2,"2017/10/12,2013/8/6"
82-88,5,"2021/11/25,2019/1/22,2014/12/27,2014/11/6,2013/6/29"
40-49-60,2,"2019/1/24,2015/9/19"
31-35-89,2,"2018/2/10,2014/7/1"
14-39-47,3,"2013/11/19,2009/6/16,2009/6/9"
24-62-77,2,"2016/11/29,2012/8/7"
1-3-41-55-84-85,1,2021/6/19
25-63,6,"2017/5/9,2016/6/18,2014/7/3,2011/2/24,2011/2/15,2011/2/3"
10-79-83,2,"2021/12/9,2016/4/23"
14-55,8,"2022/3/17,2021/8/3,2020/1/9,2019/11/12,2018/10/13,2017/10/7,2013/7/11,2009/1/13"
2-6-51,2,"2018/6/26,2011/7/5"
54-55,12,"2022/3/17,2020/7/21,2020/1/9,2017/8/26,2016/5/10,2015/4/11,2013/12/23,2013/11/16,2013/8/29,2012/4/7,2011/3/5,2010/10/30"
16-28-43,2,"2016/8/25,2012/1/31"
9-49,12,"2022/8/2,2022/2/15,2020/6/1,2019/11/7,2019/2/7,2016/9/10,2015/9/19,2014/10/16,2012/4/10,2011/4/16,2010/10/2,2010/5/27"
6-24-37-55-76-82,1,2020/11/21
19-35-49-52-75-79,1,2009/1/20
38-56,11,"2019/9/19,2019/3/19,2018/7/21,2016/7/14,2016/3/15,2016/2/2,2015/4/4,2015/2/7,2012/5/15,2011/3/26,2011/2/22"
47-51,8,"2022/8/23,2020/12/15,2018/9/4,2016/9/8,2016/4/30,2010/10/12,2010/7/24,2009/7/14"
5-19-21-25-45-82,1,2020/8/4
29-33-34-64-65-87,1,2009/10/22
64-65-89,2,"2014/7/1,2009/4/30"
23-51,7,"2019/7/20,2015/11/28,2015/5/21,2012/10/25,2010/11/9,2010/10/12,2010/7/8"
38-76,10,"2020/11/10,2019/9/19,2019/5/21,2018/7/19,2017/6/20,2016/12/29,2012/5/15,2010/11/16,2010/4/29,2009/7/16"
42-64,5,"2019/7/4,2019/4/27,2018/3/10,2014/11/15,2013/9/26"
9-27-51,2,"2012/3/27,2012/1/17"
34-82-90,2,"2013/2/19,2009/9/26"
48-71,9,"2022/10/25,2020/9/1,2019/12/12,2018/1/25,2017/12/23,2017/6/17,2014/6/14,2010/5/20,2009/4/18"
12-40-80,2,"2015/8/27,2013/12/3"
52-74,14,"2020/5/30,2019/12/5,2019/11/28,2017/4/18,2014/7/12,2014/2/8,2013/12/28,2013/3/30,2013/1/8,2011/11/8,2011/5/3,2010/12/18,2010/11/4,2009/6/18"
74-88,6,"2022/3/22,2022/1/27,2021/4/17,2018/6/4,2017/4/18,2009/8/4"
11-20,12,"2022/4/7,2021/10/23,2021/7/6,2018/11/8,2016/12/1,2016/5/21,2014/7/12,2014/4/17,2014/2/13,2013/8/31,2011/2/8,2010/7/15"
46-67-75,2,"2018/3/6,2010/6/1"
62-69,4,"2017/3/16,2011/11/24,2011/5/31,2010/12/27"
60-63,6,"2020/10/8,2018/7/10,2016/1/26,2012/7/3,2011/9/6,2011/8/11"
35-63,13,"2022/5/31,2022/1/8,2021/1/23,2020/10/8,2019/11/26,2019/1/17,2018/3/27,2017/9/16,2017/3/21,2015/10/13,2014/12/9,2014/11/29,2010/8/31"
21-25-84,2,"2013/6/1,2010/1/28"
9-70-84,2,"2019/9/7,2009/11/7"
28-36-55,3,"2019/7/25,2018/6/28,2017/8/26"
19-79,5,"2019/4/23,2018/5/5,2017/6/29,2012/5/5,2009/1/20"
14-74,7,"2019/12/19,2017/3/18,2016/2/23,2015/10/27,2015/8/20,2014/1/18,2011/8/13"
2-8-55-66-73-83,1,2012/8/2
27-48-77,2,"2017/9/21,2011/2/19"
44-62-90,2,"2015/3/5,2011/12/22"
35-43-56-58-71-90,1,2011/7/19
23-35-44-49-66-84,1,2015/2/19
42-45-86,2,"2013/3/23,2011/4/28"
24-30-38-47-48-78,1,2021/11/27
14-57-73-79-82-84,1,2018/8/11
10-45,11,"2022/5/26,2020/9/1,2018/12/6,2017/12/5,2015/2/5,2014/5/20,2013/12/24,2012/5/12,2011/2/17,2009/9/29,2009/8/22"
63-67-74-77-83-85,1,2017/1/24
42-44-68-69,2,"2018/8/25,2016/11/26"
9-20-75,2,"2016/11/12,2014/2/13"
12-16-29-45-82-85,1,2018/9/22
66-80,7,"2022/5/3,2022/3/5,2016/2/13,2014/7/31,2013/12/3,2013/5/28,2012/3/24"
8-89,8,"2021/7/1,2020/10/6,2019/5/28,2017/3/7,2016/4/16,2016/3/8,2015/7/9,2012/9/11"
41-82,7,"2021/3/27,2018/4/24,2015/9/29,2012/10/6,2011/8/9,2011/5/17,2011/3/3"
67-80-87,2,"2021/4/10,2020/9/10"
17-64-81,2,"2022/10/31,2021/12/11"
11-69,4,"2021/7/6,2017/2/25,2012/4/21,2011/10/20"
20-40,12,"2021/12/30,2021/7/6,2020/7/11,2019/8/24,2019/8/20,2016/1/5,2015/7/25,2015/2/17,2014/10/18,2013/5/18,2012/8/30,2010/2/9"
26-59-61,2,"2010/4/27,2009/4/21"
2-5,9,"2022/9/1,2018/1/23,2016/4/9,2015/1/15,2013/10/22,2013/10/5,2013/8/24,2012/10/20,2009/4/14"
47-55-70,2,"2013/7/30,2010/2/27"
33-75-78,2,"2018/10/6,2012/7/10"
12-50,6,"2018/8/16,2018/6/12,2017/12/21,2015/8/27,2011/9/1,2011/3/5"
39-69,11,"2022/10/20,2019/6/22,2018/12/18,2017/8/3,2016/2/4,2014/5/10,2013/12/28,2013/4/18,2012/6/21,2011/9/20,2010/12/27"
80-81,6,"2021/8/19,2018/9/29,2017/1/19,2015/8/1,2013/2/7,2012/7/28"
21-73,7,"2021/10/5,2021/7/8,2020/5/21,2017/8/29,2014/12/6,2014/11/8,2013/2/12"
35-36-89,2,"2015/10/13,2013/4/16"
21-29-34,2,"2021/4/24,2020/2/4"
35-52-69,2,"2011/3/18,2010/12/11"
18-25-47-51-70-83,1,2018/9/4
15-47,9,"2021/5/18,2019/8/27,2019/6/6,2018/6/16,2014/7/5,2013/11/19,2013/1/24,2012/12/6,2011/12/29"
33-72,7,"2021/4/15,2019/11/14,2019/10/17,2018/7/3,2017/12/14,2017/8/31,2014/5/3"
12-28-85,2,"2016/4/5,2009/11/5"
18-34-58-60-64-88,1,2015/10/20
36-69,8,"2020/2/20,2019/7/25,2015/3/17,2013/11/16,2012/10/20,2012/10/2,2012/7/19,2009/8/27"
27-32-52-59-69-90,1,2019/3/21
6-13-47-49-69-86,1,2020/11/19
31-39-85,2,"2015/12/1,2009/9/5"
2-42-74,2,"2018/4/28,2011/2/22"
44-54-69,3,"2018/8/25,2014/5/5,2010/3/23"
6-38-90,2,"2018/12/11,2017/10/3"
40-41-54,2,"2010/4/20,2009/2/21"
34-60,8,"2021/2/11,2021/1/26,2017/8/19,2016/10/13,2015/10/20,2012/11/10,2012/9/4,2010/5/25"
31-32-57-59-78-79,1,2010/5/22
45-61-88,2,"2021/11/25,2011/9/8"
43-45,2,"2018/8/14,2009/10/27"
50-61,5,"2021/2/6,2013/11/7,2011/1/18,2010/7/8,2009/11/26"
29-63,8,"2020/6/20,2020/3/17,2018/8/30,2016/7/28,2016/6/7,2012/11/29,2009/8/13,2009/7/28"
17-51,7,"2020/2/27,2016/5/28,2015/5/21,2011/8/11,2011/7/16,2010/8/19,2009/2/3"
41-71,10,"2022/10/25,2022/6/4,2022/4/19,2018/1/13,2017/6/13,2016/5/31,2015/11/3,2015/4/28,2009/9/8,2009/1/8"
7-78,10,"2021/4/6,2020/8/11,2020/5/16,2017/11/4,2017/1/5,2016/10/15,2015/8/29,2015/5/5,2010/3/11,2009/6/20"
8-69-70-84-88-90,1,2018/1/9
21-26-28-54-80-85,1,2022/5/12
41-65,7,"2022/6/4,2019/10/31,2018/8/2,2016/1/2,2015/4/28,2012/5/17,2010/10/16"
30-70,6,"2020/7/25,2012/6/26,2012/2/11,2011/4/5,2011/2/1,2009/12/9"
32-46,11,"2022/7/23,2022/6/21,2022/5/24,2022/4/21,2020/1/21,2018/8/9,2015/5/7,2013/3/7,2012/10/30,2011/11/12,2010/1/16"
35-38-75,2,"2017/2/9,2013/4/30"
1-28-57-58-60-68,1,2020/2/22
5-29,6,"2022/2/1,2021/9/21,2017/8/31,2011/6/28,2010/12/30,2010/3/18"
32-56-79,2,"2011/4/26,2010/7/17"
6-28,6,"2017/6/15,2015/12/24,2015/6/16,2014/10/11,2014/7/17,2012/4/17"
12-82,4,"2018/9/22,2013/1/29,2011/5/10,2011/3/3"
8-84-88,2,"2018/1/9,2013/4/6"
2-36-79,2,"2015/8/6,2009/4/9"
9-57-72,2,"2018/3/1,2010/7/6"
45-88,11,"2021/11/25,2020/2/1,2018/6/4,2017/8/24,2015/11/26,2015/6/4,2012/7/24,2011/10/8,2011/9/8,2009/8/22,2009/7/25"
9-27-53,3,"2021/6/1,2012/1/17,2011/10/13"
8-11-47,2,"2021/4/22,2011/10/6"
1-40-64,2,"2020/7/9,2009/3/19"
1-28-57-75-82-83,1,2019/5/2
27-35-69,2,"2017/12/2,2013/4/18"
8-26-44,2,"2011/9/1,2010/9/9"
5-27-37-63-67-77,1,2009/5/28
37-38,10,"2022/5/5,2021/5/8,2016/7/28,2015/4/16,2012/12/24,2011/3/26,2010/4/15,2010/4/1,2009/10/24,2009/6/23"
56-70,5,"2019/1/3,2017/6/6,2013/9/3,2011/5/14,2011/3/26"
13-56-65,2,"2015/5/30,2012/11/27"
8-15-72,2,"2021/3/9,2019/5/23"
32-78-90,2,"2015/10/10,2010/5/15"
34-43-46,2,"2022/1/18,2014/10/21"
14-41,12,"2020/6/25,2017/4/29,2017/3/18,2014/1/18,2013/8/6,2013/1/3,2012/5/17,2011/11/2,2011/9/6,2010/4/20,2009/9/1,2009/1/8"
70-74-89,2,"2021/7/13,2012/12/6"
1-88,7,"2020/7/9,2019/11/9,2016/7/23,2013/9/3,2011/10/8,2011/7/7,2009/1/31"
7-44-48-51-64-83,1,2013/9/12
76-88,4,"2020/11/10,2019/4/20,2017/4/18,2016/7/23"
20-50,6,"2018/11/10,2018/10/11,2016/1/9,2015/8/18,2013/8/31,2010/6/17"
40-44-52-59-66-69,1,2020/6/23
3-15-23-33-46-78,1,2015/3/31
11-37-39-52-68-90,1,2014/1/11
58-76-79,2,"2017/3/21,2009/2/7"
36-66-90,2,"2019/12/21,2017/2/21"
55-75,4,"2018/2/20,2012/1/24,2011/11/3,2010/9/30"
12-46-72,2,"2010/10/23,2009/7/2"
39-65,14,"2022/10/20,2022/7/14,2020/12/5,2017/12/19,2017/5/4,2016/12/12,2016/8/18,2016/1/2,2015/5/30,2015/5/16,2013/12/24,2012/3/20,2010/5/27,2009/12/10"
36-49,7,"2021/9/11,2021/5/15,2021/2/6,2018/12/27,2018/10/9,2014/2/18,2010/2/4"
6-27-55,2,"2013/5/25,2011/8/16"
1-58-62,2,"2009/6/20,2009/5/30"
6-22-51,2,"2017/7/22,2012/12/24"
11-29-39-41-43-55,1,2011/6/11
40-83,4,"2022/9/20,2021/9/16,2016/10/25,2010/8/12"
49-68,10,"2022/8/2,2022/3/22,2022/1/8,2021/10/26,2021/4/27,2018/5/29,2012/3/6,2011/4/16,2010/11/11,2010/1/5"
55-63-86,2,"2020/6/20,2017/9/16"
38-54-62,2,"2010/4/29,2009/4/16"
50-77,6,"2021/1/2,2017/6/13,2015/9/1,2012/8/7,2010/3/25,2009/11/26"
25-32-43-52-65-78,1,2011/2/5
41-56-76,2,"2022/3/12,2016/3/19"
14-16-21-24-62-78,1,2014/4/22
36-56,6,"2019/9/21,2019/3/5,2018/7/21,2015/4/14,2015/3/7,2010/4/8"
50-69-90,2,"2017/8/5,2010/8/24"
40-56-63,2,"2021/6/24,2009/8/6"
23-52-71-74-78-86,1,2011/11/8
9-27-54,3,"2021/6/12,2019/2/7,2010/12/16"
23-77,9,"2021/5/29,2019/6/13,2018/3/1,2016/12/22,2016/8/6,2013/3/12,2012/10/25,2011/10/29,2010/9/18"
5-34-56,2,"2015/2/28,2013/10/22"
2-24-65-75-81-88,1,2016/4/2
9-26-79,2,"2020/8/17,2019/9/17"
34-65,6,"2021/7/20,2017/5/27,2017/3/2,2014/4/12,2013/6/18,2009/10/22"
7-36,7,"2021/9/30,2019/7/25,2017/2/18,2016/10/15,2015/3/12,2010/4/8,2009/7/25"
47-78-90,2,"2015/10/10,2013/4/11"
9-57-66,2,"2021/1/16,2018/5/31"
14-60,8,"2022/9/17,2021/11/9,2021/10/14,2017/3/18,2014/1/7,2012/10/13,2011/9/6,2009/6/6"
66-90,11,"2022/7/23,2019/12/21,2019/5/7,2017/2/21,2016/10/20,2014/7/31,2014/4/1,2013/4/11,2010/8/24,2010/4/17,2009/1/13"
4-5-8,2,"2019/12/3,2016/1/23"
20-66-68,2,"2020/12/31,2016/5/21"
66-68-83,2,"2022/9/10,2016/9/13"
38-88,9,"2021/12/7,2021/10/19,2021/5/27,2020/11/10,2020/9/26,2015/12/28,2014/11/18,2012/8/25,2009/1/31"
6-63-85,2,"2021/11/6,2013/5/4"
17-19-62-72-78-82,1,2019/1/26
25-34,9,"2022/7/2,2022/4/30,2021/10/28,2015/6/30,2013/1/17,2012/4/12,2012/2/28,2010/7/10,2010/5/6"
15-39-76,3,"2021/9/2,2014/9/20,2013/11/19"
8-19-33,2,"2021/2/9,2017/3/7"
5-45,8,"2022/8/27,2021/5/25,2020/8/4,2020/1/2,2019/10/15,2019/10/12,2010/12/30,2009/9/12"
9-88,4,"2021/12/7,2014/10/2,2012/10/9,2010/7/6"
27-28-48-61-87-88,1,2017/11/28
31-73,8,"2021/12/18,2020/5/28,2018/8/9,2014/8/21,2014/6/24,2013/11/28,2012/9/8"
6-26-88,2,"2017/7/22,2015/10/31"
12-19-71,2,"2021/1/5,2009/5/5"
25-26-74,2,"2022/8/2,2012/7/7"
10-39-84,2,"2013/1/26,2012/11/17"
19-30-52,2,"2021/2/16,2011/9/15"
33-42-46-55-69-90,1,2010/4/13
7-17,11,"2021/12/11,2021/11/16,2020/8/20,2020/3/19,2019/11/28,2017/10/28,2016/10/29,2015/8/22,2015/8/8,2014/10/7,2012/11/5"
8-14-79,2,"2017/4/29,2010/3/13"
26-79-80,2,"2011/8/20,2011/4/14"
39-45-74-86,2,"2014/10/30,2013/12/24"
14-18-48-52-64-75,1,2010/7/3
1-10-47-50-52-74,1,2010/11/4
6-56,9,"2022/8/11,2021/11/6,2019/3/5,2018/10/23,2015/2/24,2014/10/11,2014/5/31,2012/12/1,2009/2/28"
7-20,12,"2021/9/7,2021/4/17,2020/12/31,2020/11/17,2019/7/25,2016/5/5,2016/1/5,2015/3/19,2014/9/13,2013/10/10,2011/6/30,2011/1/3"
46-77,10,"2022/4/21,2021/2/13,2020/1/30,2018/9/27,2017/5/25,2016/9/20,2015/12/3,2015/5/7,2013/7/4,2012/9/13"
71-75,6,"2020/2/27,2018/6/5,2017/6/17,2015/10/13,2010/12/23,2009/9/8"
2-37-48,2,"2015/1/10,2011/3/29"
18-21,4,"2018/8/7,2015/6/18,2011/11/15,2011/8/6"
48-49-75,2,"2017/1/26,2014/7/19"
15-19-33-35-62-68,1,2013/6/15
35-62,10,"2022/3/24,2016/11/29,2015/3/5,2014/1/21,2013/6/15,2012/8/21,2011/4/23,2010/2/23,2009/11/19,2009/7/14"
57-72-76,2,"2019/11/14,2015/12/29"
5-18,6,"2022/6/11,2022/1/4,2020/11/5,2019/4/20,2010/3/2,2010/1/19"
70-74,12,"2021/7/13,2020/7/14,2020/5/30,2019/6/22,2017/3/30,2015/8/20,2014/7/12,2014/6/5,2014/3/25,2013/12/28,2012/12/6,2009/11/7"
16-19-85,2,"2013/7/18,2010/6/10"
46-61,4,"2014/3/4,2012/10/30,2012/9/25,2010/9/21"
13-57,4,"2016/12/27,2015/2/14,2012/5/5,2011/11/10"
40-51-74,2,"2018/5/19,2011/5/3"
26-48-52-61-75-79,1,2015/6/11
9-13-15-51-73-74,1,2017/1/28
23-37-47-79-80-83,1,2012/3/8
45-47-74,2,"2017/10/24,2010/11/13"
39-61-68-69-70-86,1,2018/12/18
38-64,5,"2022/2/8,2021/8/17,2017/11/23,2013/9/26,2012/5/8"
2-38,11,"2021/8/17,2021/1/19,2017/2/7,2016/3/15,2016/2/16,2014/11/13,2011/8/16,2011/2/22,2009/8/20,2009/6/23,2009/5/2"
45-64-78,2,"2020/1/2,2016/10/22"
18-72-77,2,"2015/4/7,2014/2/15"
23-61-75,2,"2017/5/23,2013/11/14"
14-24-44,2,"2022/7/21,2016/12/22"
19-28-58,2,"2022/8/20,2018/1/4"
24-29-71,2,"2015/5/23,2009/4/23"
53-71,5,"2018/2/13,2016/10/11,2016/2/11,2012/5/10,2012/1/17"
39-41-67,2,"2020/8/20,2014/9/4"
26-56-82,2,"2019/11/19,2009/2/28"
28-79-80,2,"2014/11/15,2013/1/8"
62-77-84,2,"2020/1/30,2018/5/10"
8-19-28,2,"2018/2/3,2017/3/7"
1-64-67-68-79-90,1,2010/2/25
9-19-21-50-61-82,1,2013/11/7
23-35-72,2,"2012/9/15,2011/1/20"
12-66-73,2,"2017/9/5,2013/12/3"
6-9-78,3,"2015/5/26,2014/10/16,2014/5/8"
1-10-31-58-80,2,"2018/4/14,2010/8/10"
65-76-86,2,"2016/3/17,2009/1/29"
3-7-18-47-64-82,1,2018/10/2
31-88,6,"2019/2/23,2018/2/10,2015/7/7,2014/12/27,2014/6/24,2010/10/19"
46-64,6,"2021/10/12,2017/8/14,2013/3/26,2012/8/23,2012/2/11,2010/5/13"
1-7-34-37-45-49,1,2021/8/7
16-63,8,"2020/6/20,2019/2/19,2018/8/30,2018/3/27,2015/3/3,2013/11/16,2013/7/18,2010/9/25"
1-10-14-18-42-60,1,2022/9/17
15-17-53,3,"2014/10/7,2013/1/24,2012/3/13"
8-64-88,2,"2014/3/27,2010/3/30"
37-62-83,2,"2021/4/1,2011/3/26"
23-52,11,"2021/11/11,2018/9/6,2017/12/30,2014/11/11,2014/9/16,2013/7/13,2013/1/19,2012/10/25,2011/11/8,2011/8/30,2009/6/25"
2-23-35-46-47-63,1,2014/12/9
17-77,3,"2022/4/21,2010/12/14,2009/9/10"
12-84,10,"2022/10/31,2017/1/14,2014/9/27,2013/1/26,2013/1/15,2012/3/17,2011/11/17,2011/5/10,2011/3/3,2009/4/2"
32-69,7,"2019/3/21,2018/5/26,2014/7/22,2013/2/16,2011/8/2,2010/1/9,2009/7/11"
12-70,5,"2017/6/6,2014/12/13,2014/9/9,2013/1/15,2009/10/8"
10-58-85,2,"2012/5/12,2011/3/19"
21-37-58-75-81-85,1,2017/7/4
34-65-89,2,"2017/3/2,2014/4/12"
16-82,7,"2022/7/5,2021/3/27,2020/5/28,2019/3/5,2018/9/22,2013/6/25,2013/3/2"
30-38-63,2,"2018/11/24,2010/12/18"
32-65,9,"2022/5/17,2020/12/5,2019/11/5,2015/5/16,2015/3/24,2013/6/18,2013/5/2,2011/2/5,2009/1/29"
31-65-89,2,"2016/8/11,2014/7/1"
4-9-55,2,"2022/10/4,2015/3/21"
1-19-87,2,"2018/2/3,2017/5/18"
19-77,15,"2022/8/20,2021/12/28,2020/10/27,2019/11/19,2018/12/24,2018/7/14,2018/5/3,2014/9/18,2014/8/5,2012/5/5,2011/10/18,2010/10/14,2009/10/1,2009/8/18,2009/5/5"
21-54-73,2,"2017/8/29,2014/12/6"
50-85,7,"2019/2/28,2018/1/18,2017/10/14,2017/3/25,2013/8/31,2012/12/22,2011/2/24"
37-43-68-72-76-85,1,2021/12/4
1-7-40,3,"2019/9/14,2018/6/19,2016/10/29"
62-78-82,2,"2019/1/26,2017/6/27"
28-43-79,2,"2021/3/13,2016/3/26"
17-59,7,"2021/8/12,2020/10/3,2019/2/16,2016/3/22,2015/4/21,2014/1/28,2011/1/13"
55-72,10,"2022/3/29,2019/10/17,2019/4/30,2016/4/12,2015/8/8,2013/9/7,2012/1/24,2011/3/31,2009/4/28,2009/3/28"
1-28-34-42-49-77,1,2015/12/5
27-73,7,"2021/4/6,2020/9/19,2018/4/5,2017/7/15,2014/6/10,2014/5/29,2013/3/28"
19-47-69,2,"2014/1/4,2009/11/24"
16-31-41-61-65-77,1,2010/10/16
6-27-34-55-62-87,1,2013/5/25
2-35-41-43-65-71,1,2022/6/4
12-84-89,2,"2012/3/17,2009/4/2"
26-28-32-50-79-87,1,2020/1/18
1-61-70,2,"2020/11/7,2017/5/18"
12-54,8,"2020/5/14,2018/4/17,2016/4/9,2013/10/19,2013/3/28,2012/3/17,2011/3/5,2010/12/9"
30-85,5,"2021/9/11,2016/6/21,2015/12/15,2014/7/10,2010/10/9"
29-32-72,2,"2017/8/31,2010/10/28"
46-67,9,"2021/5/20,2020/9/10,2018/3/6,2017/8/22,2015/5/19,2011/6/4,2010/6/3,2010/6/1,2010/4/24"
15-20-42-43-47-83,1,2011/12/29
20-64-69,2,"2022/10/13,2010/3/23"
3-38-44-50-53-70,1,2009/3/17
1-40-52,3,"2019/9/14,2009/3/19,2009/1/22"
10-31-58,3,"2022/2/1,2018/4/14,2010/8/10"
24-30,7,"2021/11/27,2018/2/8,2016/4/28,2015/9/5,2011/12/27,2011/6/3,2010/10/9"
23-46,8,"2020/5/26,2017/12/30,2015/3/31,2014/12/9,2014/8/30,2012/9/25,2012/2/11,2011/11/5"
61-84,6,"2021/11/25,2018/9/15,2018/9/11,2016/9/6,2012/10/18,2012/5/2"
32-70-75,3,"2020/1/21,2012/10/30,2012/6/7"
15-63-67,2,"2019/2/19,2014/8/19"
3-25-28-37-71-82,1,2018/1/11
31-33-50,2,"2018/6/12,2011/5/5"
46-76,7,"2019/1/5,2017/6/20,2017/4/1,2017/3/11,2014/3/4,2013/12/14,2012/9/25"
6-15,8,"2020/9/12,2020/6/18,2018/11/27,2017/9/28,2016/1/28,2011/1/22,2010/3/16,2010/1/26"
5-8-49,2,"2019/5/7,2016/1/23"
12-90,8,"2020/11/28,2017/9/30,2016/11/12,2014/2/6,2013/11/2,2013/1/3,2010/12/9,2009/10/8"
9-30-76,2,"2021/2/16,2009/9/24"
40-90,3,"2019/10/12,2016/1/5,2010/3/2"
53-79,4,"2022/1/20,2017/3/14,2016/11/24,2015/8/6"
2-39-76,2,"2020/11/26,2019/1/10"
56-67,7,"2018/9/20,2018/7/21,2017/6/10,2016/7/14,2014/5/15,2010/9/4,2010/1/30"
4-16,9,"2022/1/25,2020/9/26,2018/12/22,2018/11/6,2018/2/6,2015/10/29,2015/6/30,2013/2/21,2009/3/31"
37-38-59,2,"2010/4/15,2009/6/23"
11-24-34-39-68-86,1,2014/8/12
66-67-90,3,"2016/10/20,2013/4/11,2010/4/17"
2-19-22-46-51-54,1,2015/11/7
29-37-57,2,"2020/7/23,2017/4/4"
9-29-35-47-53-85,1,2020/9/17
3-38,14,"2021/8/17,2019/5/9,2018/11/17,2018/5/15,2018/2/13,2014/5/24,2013/8/19,2013/1/5,2011/3/5,2011/2/22,2009/6/23,2009/4/16,2009/3/17,2009/1/31"
16-26-48-61-63-87,1,2015/3/3
2-49-57,2,"2017/9/2,2010/4/3"
5-39,8,"2022/8/27,2021/9/2,2021/5/25,2020/3/21,2013/8/24,2013/6/13,2010/12/30,2010/5/4"
26-36-56-68-73-81,1,2015/3/7
8-56-78,2,"2015/4/27,2014/5/22"
